
                                      ARENA Simulation Results
                                               tt_sina

                                  Summary for Replication 1 of 10

Project: Unnamed Project                                             Run execution date : 7/10/2021
Analyst: tt_sina                                                     Model revision date: 7/10/2021

Replication ended at time      : 8761.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             .00000     (Insuf)    .00000     .00000          1    
Entity 1.NVATime                            .00000     (Insuf)    .00000     .00000          1    
Entity 1.WaitTime                           .00000     (Insuf)    .00000     .00000          1    
Entity 1.TranTime                           .00000     (Insuf)    .00000     .00000          1    
Entity 1.OtherTime                          .00000     (Insuf)    .00000     .00000          1    
Entity 1.TotalTime                          .00000     (Insuf)    .00000     .00000          1    
RQW41.VATime                                .00000     .00000     .00000     .00000        365    
RQW41.NVATime                               .00000     .00000     .00000     .00000        365    
RQW41.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW41.TranTime                              .00000     .00000     .00000     .00000        365    
RQW41.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW41.TotalTime                             .00000     .00000     .00000     .00000        365    
RQTotalDailyDC1.VATime                      .00000     .00000     .00000     .00000        365    
RQTotalDailyDC1.NVATime                     .00000     .00000     .00000     .00000        365    
RQTotalDailyDC1.WaitTime                    .00000     .00000     .00000     .00000        365    
RQTotalDailyDC1.TranTime                    .00000     .00000     .00000     .00000        365    
RQTotalDailyDC1.OtherTime                   .00000     .00000     .00000     .00000        365    
RQTotalDailyDC1.TotalTime                   .00000     .00000     .00000     .00000        365    
RQTotalDailyDC2.VATime                      .00000     .00000     .00000     .00000        365    
RQTotalDailyDC2.NVATime                     .00000     .00000     .00000     .00000        365    
RQTotalDailyDC2.WaitTime                    .00000     .00000     .00000     .00000        365    
RQTotalDailyDC2.TranTime                    .00000     .00000     .00000     .00000        365    
RQTotalDailyDC2.OtherTime                   .00000     .00000     .00000     .00000        365    
RQTotalDailyDC2.TotalTime                   .00000     .00000     .00000     .00000        365    
RQTotalDailyDC3.VATime                      .00000     .00000     .00000     .00000        365    
RQTotalDailyDC3.NVATime                     .00000     .00000     .00000     .00000        365    
RQTotalDailyDC3.WaitTime                    .00000     .00000     .00000     .00000        365    
RQTotalDailyDC3.TranTime                    .00000     .00000     .00000     .00000        365    
RQTotalDailyDC3.OtherTime                   .00000     .00000     .00000     .00000        365    
RQTotalDailyDC3.TotalTime                   .00000     .00000     .00000     .00000        365    
RQTotalDailyDC4.VATime                      .00000     .00000     .00000     .00000        365    
RQTotalDailyDC4.NVATime                     .00000     .00000     .00000     .00000        365    
RQTotalDailyDC4.WaitTime                    .00000     .00000     .00000     .00000        365    
RQTotalDailyDC4.TranTime                    .00000     .00000     .00000     .00000        365    
RQTotalDailyDC4.OtherTime                   .00000     .00000     .00000     .00000        365    
RQTotalDailyDC4.TotalTime                   .00000     .00000     .00000     .00000        365    
RQW22.VATime                                .00000     .00000     .00000     .00000        365    
RQW22.NVATime                               .00000     .00000     .00000     .00000        365    
RQW22.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW22.TranTime                              .00000     .00000     .00000     .00000        365    
